lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
EMKPR0142.2,2024,9,1,140,140,QFN,176700,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G006,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0142.1,2024,9,1,140,140,QFN,176700,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G006,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0142.3,2024,9,1,140,140,QFN,176700,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G006,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0142.4,2024,9,1,140,140,QFN,176700,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,21928,EMS0752P,A,2024-EMK-03-G006,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0143.1,2024,9,1,140,140,QFN,177650,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,23096,EMS0752P,A,2024-EMK-03-G001,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0144.1,2024,9,1,140,140,QFN,180377,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G002,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0144.2,2024,9,1,140,140,QFN,180377,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G002,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0144.3,2024,9,1,140,140,QFN,180377,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G002,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0144.4,2024,9,1,140,140,QFN,180377,2/25/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,22307,EMS0752P,A,2024-EMK-03-G002,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0145.4,2024,9,2,140,140,QFN,180381,2/26/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,20847,EMS0752P,A,2024-EMK-03-G008,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0145.3,2024,9,2,140,140,QFN,180381,2/26/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G008,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0145.2,2024,9,2,140,140,QFN,180381,2/26/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G008,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0145.1,2024,9,2,140,140,QFN,180381,2/26/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G008,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0152.4,2024,9,4,140,140,QFN,176681,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,20129,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0152.2,2024,9,4,140,140,QFN,176681,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0152.1,2024,9,4,140,140,QFN,176681,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0152.3,2024,9,4,140,140,QFN,176681,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0153.4,2024,9,4,140,140,QFN,180410,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,23242,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0153.3,2024,9,4,140,140,QFN,180410,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
EMKPR0153.2,2024,9,4,140,140,QFN,180410,2/28/2024 19:00,G-A,P,EMS,NQ-500E500C020E,524.17A,17600,EMS0752P,A,2024-EMK-03-G009,TRAY,Y,8,1,117.3 X 116.1,,CZ0289
