lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
A5NES0022.1,2025,20,3,120,120,QFN,6947343.1,5/13/2025 19:00,B-A,E,ADI,GS-20P120008UAN,SAGUARO_LP1_SUB6G-ABS064259-ENG,550,ADI1771E,A,PLASMA-M-WAVE,CANISTER,N,8,1,,,CZ0524
A5NES0023.1,2025,20,3,120,120,QFN,6947344.1,5/13/2025 19:00,B-A,E,ADI,GS-20P120008UAN,SAGUARO_LP1_SUB6G-ABS064260-ENG,250,ADI1771E,A,PLASMA-M-WAVE,CANISTER,N,8,1,,,CZ0524
A5NES0024.1,2025,20,3,120,120,QFN,6947345.1,5/13/2025 19:00,B-A,E,ADI,GS-20P120008UAN,SAGUARO_LP1_SUB6G-ABS064261-ENG,400,ADI1771E,A,PLASMA-M-WAVE,CANISTER,N,8,1,,,CZ0524
A5NES0025.1,2025,20,3,120,120,QFN,6947346.1,5/13/2025 19:00,B-A,E,ADI,GS-20P120008UAN,SAGUARO_LP1_SUB6G-ABS064262-ENG,200,ADI1771E,A,PLASMA-M-WAVE,CANISTER,N,8,1,,,CZ0524
A5NES0026.1,2025,20,3,120,120,QFN,6947347.1,5/13/2025 19:00,B-A,E,ADI,GS-20P120008UAN,SAGUARO_LP1_SUB6G-ABS064263-ENG,200,ADI1771E,A,PLASMA-M-WAVE,CANISTER,N,8,1,,,CZ0524
ADNES8353.1,2025,19,6,120,120,QFN,6943151.1,5/9/2025 19:00,B-A,E,ADI,GS-30P230016CAN,ADL6346-ABS062798-ENG-4-A,576,ADI1769E,A,SURFACE CLEAN,CANISTER,N,8,"1,1",,,CZ0524
ADNES9086.1,2025,21,2,120,120,QFN,6957765.1,5/19/2025 19:00,B-A,E,ADI,GS-30P230016CAN,ADL6346-ABS062798-ENG-4-A,432,ADI1769E,A,BAKE-MIS-2ND,CANISTER,N,8,"1,1",,,CZ0524
ADNFS7629.3,2025,18,6,120,120,QFN,6933189.1,5/2/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10456,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
ADNFS7629.2,2025,18,6,120,120,QFN,6933189.1,5/2/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
ADNFS7629.1,2025,18,6,120,120,QFN,6933189.1,5/2/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
ADNFS7630.1,2025,18,6,120,120,QFN,6933191.1,5/2/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,12225,ADI6537P,B,2025-ADN-05-G270,TRAY,N,8,"1,1",,,CZ0466
ADNFS7631.2,2025,18,7,120,120,QFN,6933193.1,5/3/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,14597,ADI6537P,B,2025-ADN-05-G266,TRAY,N,8,"1,1",,,CZ0466
ADNFS7631.1,2025,18,7,120,120,QFN,6933193.1,5/3/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-05-G266,TRAY,N,8,"1,1",,,CZ0466
ADNFS7632.2,2025,18,7,120,120,QFN,6933187.1,5/3/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
ADNFS7632.3,2025,18,7,120,120,QFN,6933187.1,5/3/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10604,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
ADNFS7632.1,2025,18,7,120,120,QFN,6933187.1,5/3/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-05-G259,TRAY,N,8,"1,1",,,CZ0466
A5NES0027.1,2025,21,6,120,120,QFN,6965171.1,5/23/2025 19:00,B-A,E,ADI,MGC22B2230129AR,ADXL367MI-ABS064526-ENG-1-A,1000,ADI1784E,A,D/A-DAF-CS1,CANISTER,Y,8,"1,1",,,CZ0530
ADNQS9258.1,2025,21,4,120,120,QFN,6959618.1,5/21/2025 19:00,B-A,Q,ADI,MQ-500S500B032K,AD3552RBCPC-ANRSZ,2030,ADI1698E,A,D/A-DAF-MAP-CS2,TRAY,N,8,"1,1",,,CZ0289
