lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNPRJ183.1,2024,49,3,140,140,QFN,6792201.1,12/3/2024 19:00,B-A,P,ADI,TD-200E200B003A,LT6660H-25CCPC-A0Z,20352,ADI5140P,A,2024-ADN-12-G113,CANISTER,N,6,1,30.00 X 35.00,,CZ0141
ADNPRJ745.1,2024,50,7,140,140,QFN,6798347.1,12/14/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ECPC-A0Z,46478,ADI5111P,B,2024-ADN-12-G215,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPRK852.1,2024,53,1,140,140,QFN,6817420.1,12/29/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ECPC-A0Z,46947,ADI5111P,B,2025-ADN-01-G084,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPRJ919.1,2024,51,1,140,140,QFN,6805330.1,12/15/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3590ECPC-A0Z,18849,ADI5089P,B,2024-ADN-12-G230,CANISTER,N,6,1,22.00 X 46.00,,CZ0141
ADNPRK470.1,2024,52,2,140,140,QFN,6811746.1,12/23/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT6656A-33ICPC-A0Z,10721,ADI5473P,A,2025-ADN-01-G029,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
A5PPR2801.1,2024,52,7,140,140,QFN,6817365.1,12/28/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450-1ICPC-A0Z,20368,ADI5280P,B,2025-A5P-01-G025,CANISTER,N,6,1,24.00 X 46.00,,CZ0141
A5PPR2759.1,2024,51,7,140,140,QFN,6811781.1,12/21/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450CCPC-A0Z,21048,ADI4971P,A,2025-A5P-01-G010,CANISTER,N,6,1,24.00 X 46.00,,CZ0141
ADNPRJ524.1,2024,50,3,140,140,QFN,6798452.1,12/10/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,36404,ADI4970P,A,2024-ADN-12-G183,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ525.1,2024,50,3,140,140,QFN,6798453.1,12/10/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ICPC-A0Z,54334,ADI4970P,A,2024-ADN-12-G164,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ148.1,2024,49,2,140,140,QFN,6792141.1,12/2/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025ECPC-A0Z,35867,ADI5124P,A,2024-ADN-12-G081,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ147.1,2024,49,2,140,140,QFN,6792129.1,12/2/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3204B-5ECPC-A0Z,16842,ADI4969P,B,2024-ADN-12-G082,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ913.1,2024,51,1,140,140,QFN,6805186.1,12/15/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3204B-5ECPC-A0Z,16994,ADI4969P,B,2024-ADN-12-G217,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ743.1,2024,50,7,140,140,QFN,6792122.1,12/14/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LB-2ECPC-A0Z,16630,ADI5109P,A,2024-ADN-12-G215,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRJ523.1,2024,50,3,140,140,QFN,6798495.1,12/10/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC4065LXECPC-A0Z,34134,ADI5114P,B,2024-ADN-12-G183,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRK631.1,2024,52,4,140,140,QFN,6811847.1,12/25/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC4069ECPC-A0Z,16865,ADI5893P,A,2025-ADN-01-G046,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPRK777.1,2024,52,7,140,140,QFN,6811869.1,12/28/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,23913,ADI6491P,A,2025-ADN-01-G074,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPRJ760.1,2024,50,7,140,140,QFN,6798523.1,12/14/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC6258ICPC-A0Z,19934,ADI5015P,B,2024-ADN-12-G226,CANISTER,N,8,1,28.00 X 52.00,,CZ0141
