lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag
ADNPRH266.1,2024,43,7,140,140,QFN,6761703.1,10/26/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008-18ECPC-A0Z,15503,ADI5030P,B,2024-ADN-11-G074,CANISTER,N,6,1,26.00 X 54.00,
ADNPRG633.1,2024,42,5,140,140,QFN,6749323.1,10/17/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008ICPC-A0Z,16543,ADI5019P,B,2024-ADN-10-G241,CANISTER,N,6,1,26.00 X 54.00,
ADNPRG158.1,2024,41,3,140,140,QFN,6742999.1,10/8/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3009ICPC-A0Z,20891,ADI5112P,C,2024-ADN-10-G128,CANISTER,N,6,1,22.00 X 46.00,
ADNPRG178.1,2024,41,3,140,140,QFN,6743000.1,10/8/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3009ICPC-A0Z,20525,ADI5112P,C,2024-ADN-10-G128,CANISTER,N,6,1,22.00 X 46.00,
ADNPRH267.1,2024,43,7,140,140,QFN,6761799.1,10/26/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025ECPC-A0Z,35478,ADI5124P,A,2024-ADN-11-G074,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG018.1,2024,41,1,140,140,QFN,6742881.1,10/6/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3204-5ECPC-A0Z,17120,ADI5171P,A,2024-ADN-10-G106,CANISTER,N,6,1,24.00 X 54.00,
ADNPRH512.1,2024,44,4,140,140,QFN,6761806.1,10/30/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3221-5ECPC-A0Z,16712,ADI5136P,A,MLASER-T,CANISTER,N,6,1,24.00 X 54.00,
ADNPRH268.1,2024,43,7,140,140,QFN,6761814.1,10/26/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3427ECPC-A0Z,16779,ADI5119P,B,2024-ADN-11-G074,CANISTER,N,6,1,24.00 X 54.00,
ADNPRF903.1,2024,40,6,140,140,QFN,6735830.1,10/4/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526B-2ECPC-A0Z,15651,ADI5088P,A,2024-ADN-10-G078,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG928.1,2024,43,2,140,140,QFN,6755588.1,10/21/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526L-2ECPC-A0Z,34541,ADI5001P,A,2024-ADN-10-G258,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG016.1,2024,41,1,140,140,QFN,6742876.1,10/6/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LBECPC-A0Z,29122,ADI5104P,A,2024-ADN-10-G120,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG637.1,2024,42,5,140,140,QFN,6749415.1,10/17/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LBECPC-A0Z,34513,ADI5104P,A,2024-ADN-10-G241,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG927.1,2024,43,2,140,140,QFN,6755587.1,10/21/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LBECPC-A0Z,34445,ADI5104P,A,2024-ADN-11-G024,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG639.1,2024,42,5,140,140,QFN,6749416.1,10/17/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LECPC-A0Z,51776,ADI5016P,B,2024-ADN-10-G225,CANISTER,N,6,1,24.00 X 54.00,
ADNPRH511.1,2024,44,4,140,140,QFN,6761838.1,10/30/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC4065LX-41ECPC-A0Z,16760,ADI5018P,A,BUFFING,CANISTER,N,6,1,24.00 X 54.00,
ADNPRG861.1,2024,42,7,140,140,QFN,6755555.1,10/19/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC4065LXECPC-A0Z,17172,ADI5114P,B,2024-ADN-10-G258,CANISTER,N,6,1,24.00 X 54.00,
ADNPRH041.1,2024,43,3,140,140,QFN,6755540.1,10/22/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC6228ICPC-A0Z,23416,ADI4592P,B,2024-ADN-11-G034,CANISTER,N,8,1,29.00 X 59.00,
ADNPRG554.2,2024,42,2,140,140,QFN,6749351.1,10/14/2024 19:00,B-A,P,ADI,TD-200E200M004K,LT6003CCPC-A0Z,15333,ADI7442P,A,2024-ADN-10-G202,CANISTER,N,6,1,38.00 X 39.00,
ADNPRG554.1,2024,42,2,140,140,QFN,6749351.1,10/14/2024 19:00,B-A,P,ADI,TD-200E200M004K,LT6003CCPC-A0Z,14700,ADI7442P,A,2024-ADN-10-G202,CANISTER,N,6,1,38.00 X 39.00,
ADNPRG555.1,2024,42,2,140,140,QFN,6749352.1,10/14/2024 19:00,B-A,P,ADI,TD-200E200M004K,LT6003ICPC-A0Z,15335,ADI7442P,A,2024-ADN-10-G211,CANISTER,N,6,1,38.00 X 39.00,
ADNPRF907.1,2024,40,6,140,140,QFN,6738131.1,10/4/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT3060-33ICPC-A0Z,19261,ADI3668P,B,2024-ADN-10-G099,CANISTER,N,6,1,29.00 X 59.00,
ADNPRH137.1,2024,43,6,140,140,QFN,6755680.1,10/25/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT3483ECPC-A0Z,8796,ADI3710P,A,2024-ADN-11-G072,CANISTER,N,6,1,34.00 X 58.00,
ADNPRG149.1,2024,41,2,140,140,QFN,6742960.1,10/7/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT8410ECPC-A0Z,10910,ADI6446P,A,2024-ADN-10-G124,CANISTER,N,6,1,34.00 X 55.00,
ADNPRG075.1,2024,41,2,140,140,QFN,6742959.1,10/7/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A1Z,35081,ADI6339P,A,2024-ADN-10-G140,CANISTER,N,8,1,44.3 X 56.3,
ADNPRH047.1,2024,43,4,140,140,QFN,6755649.1,10/23/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A1Z,35113,ADI6339P,A,2024-ADN-11-G056,CANISTER,N,8,1,44.3 X 56.3,
ADNPRH048.1,2024,43,4,140,140,QFN,6755650.1,10/23/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A1Z,35124,ADI6339P,A,2024-ADN-11-G031,CANISTER,N,8,1,44.3 X 56.3,
ADNPRG542.1,2024,41,7,140,140,QFN,6749359.1,10/12/2024 19:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A2Z,35121,ADI6339P,A,2024-ADN-10-G191,CANISTER,N,8,1,44.3 X 56.3,
