lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
AIKQS0035.1,2025,26,6,120,120,QFN,6983034.1,6/27/2025 19:00,B-A,Q,ADI,BG-30C130018AAG,LTC3311-ABS062175-ENG-1-A,3536,ADI1560E,A,2025-AIK-07-G004,TRAY,Y,8,1,65.00 X 95.00,,CZ0533
ADNESA727.1,2025,24,6,120,120,QFN,6984552.1,6/13/2025 19:00,B-A,E,ADI,GS-40P140020CAN,ADRF5346-ABS059627-ENG-1-A,2280,ADI1787E,A,2025-ADN-06-G392,CANISTER,N,8,1,,,CZ0466
ADNESA728.1,2025,24,6,120,120,QFN,6984553.1,6/13/2025 19:00,B-A,E,ADI,GS-40P140020CAN,ADRF5346-ABS059628-ENG-1-A,2280,ADI1787E,A,2025-ADN-07-G002,CANISTER,N,8,1,,,CZ0466
ADNFSA168.2,2025,23,5,120,120,QFN,6941113.1,6/5/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,8465,ADI6537P,B,2025-ADN-06-G191,TRAY,N,8,"1,1",,,CZ0466
ADNFSA168.1,2025,23,5,120,120,QFN,6941113.1,6/5/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-06-G191,TRAY,N,8,"1,1",,,CZ0466
ADNFSA169.1,2025,23,6,120,120,QFN,6974649.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-06-G234,TRAY,N,8,"1,1",,,CZ0466
ADNFSA169.2,2025,23,6,120,120,QFN,6974649.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-06-G234,TRAY,N,8,"1,1",,,CZ0466
ADNFSA169.3,2025,23,6,120,120,QFN,6974649.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10611,ADI6537P,B,2025-ADN-06-G234,TRAY,N,8,"1,1",,,CZ0466
ADNFSA170.1,2025,23,6,120,120,QFN,6974653.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-06-G226,TRAY,N,8,"1,1",,,CZ0466
ADNFSA170.3,2025,23,6,120,120,QFN,6974653.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10481,ADI6537P,B,2025-ADN-06-G226,TRAY,N,8,"1,1",,,CZ0466
ADNFSA170.2,2025,23,6,120,120,QFN,6974653.1,6/6/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-06-G226,TRAY,N,8,"1,1",,,CZ0466
ADNFSB113.2,2025,25,6,120,120,QFN,6974651.1,6/20/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G016,TRAY,N,8,"1,1",,,CZ0466
ADNFSB113.1,2025,25,6,120,120,QFN,6974651.1,6/20/2025 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G016,TRAY,N,8,"1,1",,,CZ0466
