lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNFSB987.1,2025,27,5,120,120,QFN,7005848.1,07/03/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,6010,ADI6537P,B,2025-ADN-07-G203,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB988.1,2025,27,5,120,120,QFN,7005850.1,07/03/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,1038,ADI6537P,B,2025-ADN-07-G194,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB989.1,2025,27,6,120,120,QFN,7005852.1,07/04/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G210,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB989.4,2025,27,6,120,120,QFN,7005852.1,07/04/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,5315,ADI6537P,B,2025-ADN-07-G210,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB989.3,2025,27,6,120,120,QFN,7005852.1,07/04/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G210,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB989.2,2025,27,6,120,120,QFN,7005852.1,07/04/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G210,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC009.2,2025,27,7,120,120,QFN,7005854.1,07/05/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,14291,ADI6537P,B,2025-ADN-07-G223,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC009.1,2025,27,7,120,120,QFN,7005854.1,07/05/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G223,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC010.2,2025,28,1,120,120,QFN,7005856.1,07/05/2025 20:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G240,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC010.1,2025,28,1,120,120,QFN,7005856.1,07/05/2025 20:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G240,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC010.3,2025,28,1,120,120,QFN,7005856.1,07/05/2025 20:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10585,ADI6537P,B,2025-ADN-07-G240,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSC011.1,2025,27,5,120,120,QFN,7005858.1,07/03/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,12378,ADI6537P,B,2025-ADN-07-G210,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD065.1,2025,29,6,120,120,QFN,7019805.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,12220,ADI6537P,B,2025-ADN-07-G422,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD067.2,2025,29,6,120,120,QFN,7019801.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,8213,ADI6537P,B,2025-ADN-07-G422,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD067.1,2025,29,6,120,120,QFN,7019801.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2025-ADN-07-G422,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD071.1,2025,29,6,120,120,QFN,7019803.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,12065,ADI6537P,B,2025-ADN-07-G425,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB915.1,2025,27,5,120,120,QFN,6951630.1,07/03/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0CZ,2247,ADI7937P,A,2025-ADN-07-G207,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSB916.1,2025,27,5,120,120,QFN,6998465.1,07/03/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0CZ,3750,ADI7937P,A,2025-ADN-07-G200,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD072.2,2025,29,6,120,120,QFN,7019807.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,14496,ADI6527P,C,2025-ADN-07-G416,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFSD072.1,2025,29,6,120,120,QFN,7019807.1,07/18/2025 19:00:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,C,2025-ADN-07-G416,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
A5NES0031.1,2025,29,4,120,120,QFN,7021516.1,07/16/2025 19:00:00,B-A,E,ADI,MGC22B2230129AR,ADXL367MI-ABS065322-ENG-1-A,6180,ADI1784E,A,MLASER-T,CANISTER,Y,8,"1,1","70.4 X 64.1,52.3 X 49.8",,CZ0530
ADNQSD961.1,2025,31,5,120,120,QFN,7042442.1,07/31/2025 19:00:00,B-A,Q,ADI,MQ-500S500B032K,AD3552RBCPC-ANRSZ,1334,ADI1698E,A,D/A-CS1,TRAY,N,8,"1,1","117.9 X 117.9,117.9 X 117.9",,CZ0289
ADNUSD767.1,2025,31,3,120,120,QFN,7017726.1,07/29/2025 19:00:00,B-A,U,ADI,NH-20F120012SAN,LTC3337ECRC-A0Z,9479,ADI1695E,A,SEAL-GREEN,CANISTER,N,8,1,66.10 X 66.10,,"CZ0334,CZ0286"
ADNFSD104.1,2025,29,7,120,120,QFN,7002847.1,07/19/2025 19:00:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-A0400WZ,3000,ADI7793P,A,2025-ADN-08-G029,TRAY,Y,12,1,146.00 X 146.00,,CZ0289
ADNFSD104.2,2025,29,7,120,120,QFN,7002847.1,07/19/2025 19:00:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-A0400WZ,3000,ADI7793P,A,2025-ADN-08-G029,TRAY,Y,12,1,146.00 X 146.00,,CZ0289
ADNFSD104.3,2025,29,7,120,120,QFN,7002847.1,07/19/2025 19:00:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-A0400WZ,3000,ADI7793P,A,2025-ADN-08-G029,TRAY,Y,12,1,146.00 X 146.00,,CZ0289
ADNFSD104.4,2025,29,7,120,120,QFN,7002847.1,07/19/2025 19:00:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-A0400WZ,3267,ADI7793P,A,2025-ADN-08-G029,TRAY,Y,12,1,146.00 X 146.00,,CZ0289
